Episode,Reward,Length,Epsilon
615,-181.78715572558377,433,0.045605554379880814
616,-187.701107130286,253,0.04537752660798141
617,-198.4122562352435,1000,0.0451506389749415
618,-357.2113317995324,901,0.044924885780066794
619,-121.18880817134311,1000,0.04470026135116646
620,-161.65280986460786,1000,0.04447676004441063
621,-130.74308599299295,1000,0.04425437624418858
622,-120.22856387898739,190,0.04403310436296763
623,-181.0035868571571,367,0.043812938841152796
624,-195.29412310671972,763,0.04359387414694703
625,-239.68496044441434,745,0.043375904776212296
626,-183.70298579373798,712,0.043159025252331236
627,-201.93218874429004,590,0.04294323012606958
628,-142.08907404952436,1000,0.04272851397543923
629,-189.8532995551767,842,0.04251487140556204
630,-187.52498081729914,562,0.04230229704853423
631,-190.53080638414383,350,0.04209078556329156
632,-125.38679856356362,150,0.0418803316354751
